tconst	averageRating	numVotes
tt13159212	6.4	12
tt1280782	6.1	21
tt7703946	5.7	8
tt0904126	7.8	12
tt1273852	8.5	15
tt1236103	7.5	56
tt7453542	5.7	17
tt1881019	8.4	18
tt5826128	7.5	17
tt10198236	9.2	7
tt5506152	9.4	10
tt1554960	2.7	7
tt12875096	6.5	135
tt11063782	6.6	179
tt0793056	7.8	54
tt0252117	7.2	12
tt0691406	6.7	10
tt10311172	7.2	168
tt5420658	6.3	11
tt0743097	7.5	43
tt5585768	8.1	14
tt11530952	5.9	15
tt4180834	6.4	18
tt0307017	8.9	198
tt10481868	3.5	17419
tt2526502	8.8	6
tt0578149	8.6	589
tt19388630	7.4	14
tt0958705	8.3	476
tt6967770	6.3	18
tt8201832	7.0	224
tt1449510	7.1	242
tt5880164	8.3	165
tt2375982	7.0	9
tt0670186	8.0	69
tt0227858	7.0	657
tt1452279	6.1	18
tt5827756	7.5	9
tt0491356	5.8	593
tt9148884	7.7	7
tt2304881	4.4	12
tt7831670	5.5	54
tt0221009	7.2	15
tt0209766	7.2	32
tt9152320	6.7	20
tt0345561	6.4	4859
tt0524568	6.7	15
tt5216240	6.6	7
tt1073605	8.3	9
tt1081059	4.4	29
tt3725458	7.0	8
tt3502404	7.0	84
tt1789274	7.1	71
tt1378436	7.0	7
tt0609098	7.7	166
tt4796848	6.8	526
tt7412222	9.4	22
tt0000349	5.5	133
tt0268617	5.8	16
tt0535425	6.0	10
tt6276432	8.7	55
tt8189178	6.8	358
tt2269898	8.2	25
tt0740836	6.2	13
tt5483446	8.0	7
tt0543590	8.0	60
tt9848902	8.7	6
tt4687856	4.8	2193
tt0297385	7.4	29
tt0956970	6.7	17
tt1886580	7.1	9
tt0530527	8.4	410
tt1391835	6.4	17
tt4480466	7.8	218
tt6327798	7.8	9
tt2293927	7.8	5
tt13661652	6.4	6
tt0799993	6.4	272
tt13098856	4.5	21
tt4825498	6.8	8
tt0597667	7.5	97
tt14106260	6.4	5
tt21249716	5.9	31
tt1422399	7.7	22
tt0010322	5.0	98
tt2342579	7.6	131
tt1869390	6.9	19
tt0302243	5.4	14
tt4531256	7.5	16
tt5248298	7.6	12
tt0827984	6.0	11
tt14050792	7.3	8
tt0334961	7.4	11
tt4843348	9.0	11
tt9032718	7.6	11
tt1245060	6.2	7
tt2434630	8.7	8
tt0070922	7.5	242
tt0086347	7.2	11
tt11725640	5.2	6
tt0256388	8.4	16
tt1203239	6.7	28
tt5913424	6.6	13
tt11786342	6.6	13
tt1545797	6.0	15
tt0718640	7.2	5
tt0288273	4.7	26
tt12164394	6.4	9
tt0700968	7.0	47
tt0353485	6.6	152
tt4292546	8.2	8
tt0501974	7.0	126
tt10009718	6.0	44
tt2373052	5.9	39
tt0764430	7.8	19
tt11875736	7.1	29
tt5071492	6.9	12
tt0867739	7.4	8
tt5893636	7.1	18
tt2249584	8.0	31
tt0775555	8.0	107
tt0492342	5.6	26
tt0744506	9.2	28
tt1362127	6.1	7
tt0216861	6.1	20
tt14061682	9.7	38
tt8928506	8.8	30
tt21289088	9.9	12
tt1024104	7.8	17
tt1009491	7.4	7
tt10952090	6.7	8
tt21038736	7.4	36
tt6918266	6.3	12
tt15514598	5.5	186
tt1985191	5.3	8
tt0180339	6.2	322
tt1932270	8.0	19
tt7240014	7.5	13
tt3198298	8.4	117
tt0746346	8.2	37
tt0971953	7.1	9
tt12090608	8.7	7
tt1553732	8.2	31
tt0176118	6.4	99
tt0529459	7.1	118
tt11106450	7.2	48
tt10847330	6.4	467
tt0182586	7.5	16
tt0578783	7.3	8
tt2392336	8.6	83
tt1424676	3.9	9
tt0765057	6.5	54
tt5611830	7.8	2765
tt0659035	6.7	10
tt13212290	9.0	12
tt2153364	6.1	245
tt0264660	7.4	28
tt3568862	10.0	8
tt0707875	7.8	45
tt0481467	6.0	10
tt11165668	8.3	7
tt0576631	6.3	31
tt8702892	8.6	19
tt0799164	6.6	14
tt0055880	6.5	58
tt0533423	8.1	2871
tt1439092	7.5	17
tt1073113	7.3	13
tt0974776	8.6	18
tt0714365	7.7	16
tt13779414	3.9	107
tt0598884	7.7	22
tt8912428	8.6	115
tt2865504	6.2	32
tt0056908	5.6	910
tt0789730	7.7	99
tt0946740	6.8	9
tt13029812	6.6	9
tt22442604	8.2	5
tt5206832	8.3	17
tt1413067	7.4	284
tt2914754	5.7	24
tt0089966	5.3	227
tt9266966	6.5	53
tt0063427	7.0	862
tt3031106	6.8	27
tt20602002	7.6	5
tt4176914	5.2	10
tt1832192	7.6	275
tt10995916	8.1	52
tt2968852	6.8	28
tt0051349	5.2	762
tt15262978	6.3	6
tt9534214	8.8	5
tt6089670	8.1	13
tt8003032	8.3	30
tt1039100	8.1	29
tt0836711	8.5	19
tt2325330	8.6	24
tt1884902	7.2	5
tt4820688	7.6	12
tt8993902	7.1	41
tt0590682	5.4	46
tt0115500	3.5	271
tt7450976	3.3	7
tt9049176	8.8	7
tt0399179	6.3	47
tt6302696	8.5	331
tt10041332	5.8	12
tt3534362	8.2	13
tt0059257	6.2	510
tt0770613	8.1	562
tt0759465	7.1	21
tt0604842	5.2	23
tt1039977	2.8	13
tt19034522	5.7	4831
tt1499249	3.3	5065
tt1365379	8.1	8
tt1012880	7.9	10
tt19178666	5.8	14
tt4944306	7.0	6
tt6499516	4.2	75
tt0863133	7.6	11
tt9209750	7.8	5
tt0407337	6.0	365
tt5697586	6.4	6
tt22941464	6.5	31
tt0189729	6.9	11
tt16113178	10.0	10
tt1594715	9.4	7
tt13514938	7.8	5
tt0216230	8.6	67
tt1024456	8.2	841
tt0275459	5.0	11
tt2011824	6.6	5
tt9346356	8.3	296
tt3276688	7.0	27
tt3084294	6.4	265
tt6449410	3.0	77
tt0231477	8.1	1835
tt1155312	7.4	11
tt1661114	6.2	108
tt1621132	7.7	7
tt0566427	7.7	90
tt0042428	6.4	838
tt0047674	6.5	335
tt0222417	5.8	25
tt5861552	7.0	9
tt0960407	7.3	544
tt5358038	4.8	16
tt0128737	5.6	104
tt0956097	7.2	19
tt7598474	8.0	32
tt1462230	7.1	77
tt8609344	7.7	11
